wkt_geom,mindate,maxdate,latitude,longitude,altitude,crop,intercrop,sampleID,LC,CT,IRR,valtime
Point (10.10766999999999882 3.69086999999999987),05/11/2017,05/11/2017,3.69087,10.10767,83,maize,groundnuts,2017_CM_GARDIAN-62_POINT_110178,11,9998,0,05/11/2017
Point (10.26811999999999969 3.80740999999999996),05/11/2017,05/11/2017,3.80741,10.26812,142,maize,cassava,2017_CM_GARDIAN-62_POINT_110179,11,9998,0,05/11/2017
Point (10.58948999999999963 2.96822000000000008),06/11/2017,06/11/2017,2.96822,10.58949,236,maize,plantain,2017_CM_GARDIAN-62_POINT_110180,11,9998,0,06/11/2017
Point (10.58952000000000027 3.96819000000000033),06/11/2017,06/11/2017,3.96819,10.58952,264,maize,cassava,2017_CM_GARDIAN-62_POINT_110181,11,9998,0,06/11/2017
Point (10.59238999999999997 3.94056999999999968),06/11/2017,06/11/2017,3.94057,10.59239,230,maize,groundnuts,2017_CM_GARDIAN-62_POINT_110182,11,9998,0,06/11/2017
Point (11.51491000000000042 3.53725999999999985),30/05/2017,30/05/2017,3.53726,11.51491,685,maize,legumes,2017_CM_GARDIAN-62_POINT_110183,11,9998,0,30/05/2017
Point (11.5139800000000001 3.53085999999999967),30/05/2017,30/05/2017,3.53086,11.51398,662,maize,manioc,2017_CM_GARDIAN-62_POINT_110184,11,9998,0,30/05/2017
Point (11.51708999999999961 3.47824),30/05/2017,30/05/2017,3.47824,11.51709,645,maize,arachide,2017_CM_GARDIAN-62_POINT_110185,11,9998,0,30/05/2017
Point (11.53906999999999883 3.46666500000000033),30/05/2017,30/05/2017,3.466665,11.53907,676,maize,no,2017_CM_GARDIAN-62_POINT_110186,11,1200,0,30/05/2017
Point (11.5616500000000002 3.46686000000000005),30/05/2017,30/05/2017,3.46686,11.56165,664,maize,no,2017_CM_GARDIAN-62_POINT_110187,11,1200,0,30/05/2017
Point (11.17815000000000047 2.91188000000000002),30/05/2017,30/05/2017,2.91188,11.17815,583,maize,legumes/manioc,2017_CM_GARDIAN-62_POINT_110188,11,9998,0,30/05/2017
